Science,586,1
Economy,320,2
Family,365,3
Cancer,236,1
Food,164,2
Oceans,317,1
Gender,207,3
Education,258,2
Language,141,2
Politics,271,2
Skills,57,3
Urbanization,150,3
Technology,354,1
Energy,143,1
Brains,151,1
Emotions,560,3
Math,83,1
Space,137,1
Robotics,233,1
Data,117,1
Music,160,3
Genetics,199,1
Games,82,2
Physics,100,1
Love,467,3
